#RAT ;#SONO;INICIO ;FIM;DURAÇÃO;EMG -8;EMG -6;EMG -4;EMG -2;EMG AP1;EMG AP2;REM -8;REM -6;REM -4;REM -2;REM AP1;REM AP2;NREM -8;NREM -6;NREM -4;NREM -2;NREM AP1;NREM AP2
R12;REM;636.1;642.8;6.70;0.0052;0.0053;0.0035;0.0011;0.0011;0.0043;22.888;19.531;107.651;79.880;10.910;0.4196;88.730;94.833;37.003;42.343;70.419;0.2670
R12;REM;28714.1;28720.8;6.70;0.0119;0.0005;0.0005;0.0005;0.0009;0.0024;0.9003;0.8545;11.215;0.9003;0.1602;0.9689;26.627;25.482;20.370;64.926;17.395;0.3662
R12;REM;20229.1;20236.0;6.90;0.0008;0.0006;0.0005;0.0005;0.0005;0.0005;0.0992;49.744;371.704;131.454;373.840;59.509;72.403;16.556;10.300;0.9766;11.902;0.9460
R12;REM;23336.1;23343.0;6.90;0.0011;0.0017;0.0007;0.0003;0.0003;0.0014;0.1144;34.637;60.349;0.2365;0.1526;0.0458;0.6027;12.894;11.673;36.545;78.049;48.294
R12;REM;15316.1;15323.1;7.00;0.0005;0.0004;0.0005;0.0005;0.0005;0.0004;0.3738;42.191;112.915;177.307;0.1144;12.207;71.793;38.071;35.934;10.300;111.084;233.383
R12;REM;858.1;865.2;7.10;0.0011;0.0005;0.0005;0.0005;0.0005;0.0005;23.804;85.983;55.542;35.400;10.834;0.5188;110.321;25.940;49.210;124.817;74.387;27.466
R12;REM;23004.1;23011.2;7.10;0.0091;0.0060;0.0010;0.0005;0.0002;0.0018;24.261;36.697;0.5569;0.3128;49.438;28.458;32.730;10.757;20.676;32.806;0.1678;0.6714
R12;REM;22783.1;22790.3;7.20;0.0006;0.0004;0.0002;0.0003;0.0003;0.0002;0.5646;18.463;17.014;0.3128;0.1984;0.9232;832.901;29.144;24.948;107.803;0.8163;48.294
R12;REM;28470.1;28477.3;7.20;0.0019;0.0014;0.0007;0.0005;0.0003;0.0005;0.7553;0.7782;13.504;44.632;21.896;21.591;18.997;121.002;51.880;58.289;19.836;0.7477
R12;REM;28769.1;28776.3;7.20;0.0002;0.0002;0.0002;0.0004;0.0002;0.0002;0.1602;47.760;14.343;0.5569;0.0839;0.3052;146.637;0.9766;0.9537;83.771;19.836;0.7477
R12;REM;17929.1;17936.4;7.30;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.4425;43.030;38.147;10.986;0.2213;0.4349;11.368;22.964;49.057;209.427;60.425;15.182
R12;REM;18809.1;18816.4;7.30;0.0007;0.0008;0.0008;0.0007;0.0007;0.0006;0.2747;21.667;40.207;143.204;76.752;27.847;99.716;41.122;11.673;14.343;38.681;20.218
R12;REM;7979.1;7986.5;7.40;0.0025;0.0020;0.0008;0.0005;0.0005;0.0004;11.978;10.529;36.469;23.117;0.6866;0.1678;348.587;58.365;36.316;39.978;890.579;221.252
R12;REM;17550.1;17557.5;7.40;0.0005;0.0006;0.0005;0.0005;0.0006;0.0005;14.954;41.428;30.212;0.9003;0.2975;0.3586;127.411;45.547;61.569;147.934;56.686;11.368
R12;REM;28324.1;28331.5;7.40;0.0004;0.0003;0.0003;0.0004;0.0003;0.0002;10.605;13.428;0.9079;0.8087;18.005;31.433;167.618;54.550;44.174;0.9918;0.1373;0.1755
R12;REM;21154.1;21161.6;7.50;0.0005;0.0005;0.0008;0.0006;0.0006;0.0005;13.275;26.016;25.024;56.915;88.120;130.997;84.000;59.204;22.278;14.496;0.8392;21.439
R12;REM;17748.1;17755.7;7.60;0.0005;0.0005;0.0005;0.0005;0.0006;0.0005;0.2213;20.828;30.289;42.877;146.561;19.836;189.667;42.953;30.060;41.122;254.288;88.043
R12;REM;20837.1;20844.9;7.80;0.0005;0.0005;0.0005;0.0007;0.0009;0.0010;11.444;0.6104;27.618;18.539;0.1984;0.2136;97.427;34.561;17.471;43.411;132.370;107.956
R12;REM;22048.1;22055.9;7.80;0.0011;0.0011;0.0012;0.0013;0.0013;0.0013;0.4883;24.567;12.741;0.5569;0.2975;0.2289;34.256;49.438;32.272;235.214;10.605;11.063
R12;REM;28494.1;28501.9;7.80;0.0006;0.0005;0.0005;0.0003;0.0002;0.0001;12.283;119.705;69.199;48.752;30.594;30.289;186.005;39.444;18.692;17.166;0.2365;0.2899
R12;REM;18587.1;18595.0;7.90;0.0008;0.0008;0.0008;0.0008;0.0012;0.0009;0.3357;44.785;39.520;133.667;12.665;0.5341;165.787;56.686;32.883;31.204;48.370;34.103
R12;REM;21755.1;21763.0;7.90;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;19.073;54.245;64.240;55.008;15.945;0.6790;84.457;32.578;51.117;67.520;0.1831;0.0916
R12;REM;16011.1;16019.1;8.00;0.0006;0.0006;0.0006;0.0006;0.0005;0.0005;10.376;0.7935;18.921;37.308;134.964;122.986;192.184;31.433;14.496;16.861;0.2899;0.5569
R12;REM;16060.1;16068.1;8.00;0.0009;0.0008;0.0006;0.0006;0.0006;0.0005;0.7553;41.122;34.561;63.324;23.422;41.580;125.732;34.256;16.556;11.978;0.4501;0.4501
R12;REM;8867.1;8875.2;8.10;0.0002;0.0003;0.0003;0.0003;0.0003;0.0003;0.1831;76.828;147.400;61.493;58.136;73.547;60.272;29.526;20.752;18.387;94.986;133.667
R12;REM;11514.1;11522.2;8.10;0.0005;0.0003;0.0004;0.0003;0.0004;0.0003;0.3738;15.564;22.812;0.5569;63.171;18.768;61.722;59.967;38.528;97.351;37.231;13.046
R12;REM;20242.1;20250.2;8.10;0.0098;0.0071;0.0006;0.0005;0.0005;0.0005;53.406;19.073;135.117;17.395;10.452;144.653;24.033;28.839;12.360;51.804;77.362;83.466
R12;REM;25381.1;25389.2;8.10;0.0006;0.0008;0.0007;0.0008;0.0007;0.0005;0.6866;50.659;53.177;40.283;75.607;83.160;116.806;58.594;60.577;39.291;0.3738;26.093
R12;REM;26815.1;26823.2;8.10;0.0013;0.0013;0.0011;0.0011;0.0011;0.0011;0.2899;25.253;14.801;0.2060;0.7553;105.286;187.378;59.814;64.697;135.422;0.2289;0.3967
R12;REM;7884.1;7892.6;8.50;0.0040;0.0015;0.0005;0.0003;0.0002;0.0002;13.046;37.155;136.490;156.174;56.839;53.482;155.258;29.449;0.6561;18.616;0.7477;13.657
R12;REM;19235.1;19243.7;8.60;0.0005;0.0005;0.0005;0.0005;0.0005;0.0006;0.8469;169.296;119.019;44.022;125.122;104.904;127.792;34.561;15.945;14.725;0.7935;0.9232
R12;REM;20786.1;20794.7;8.60;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.2670;22.354;22.659;202.103;18.234;31.357;33.188;0.6561;30.823;0.7935;0.5188;22.278
R12;REM;13544.1;13552.8;8.70;0.0025;0.0024;0.0024;0.0019;0.0011;0.0006;0.7172;0.8774;34.866;38.528;14.572;46.082;43.030;12.512;19.226;25.558;0.3510;20.752
R12;REM;7945.1;7954.2;9.10;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.2823;89.951;109.558;98.038;23.956;19.150;313.950;49.057;27.924;25.940;0.7477;11.597
R12;REM;10219.1;10228.2;9.10;0.0000;0.0008;0.0000;0.0002;0.0001;0.0000;13.428;67.596;53.482;0.8392;56.610;286.611;110.855;19.226;44.098;72.250;0.3052;0.4349
R12;REM;20988.1;20997.2;9.10;0.0002;0.0002;0.0002;0.0000;0.0000;0.0000;0.4044;54.092;83.160;155.182;34.714;47.455;123.138;55.542;35.172;0.7248;74.768;0.9689
R12;REM;21544.1;21553.2;9.10;0.0006;0.0004;0.0004;0.0003;0.0015;0.0003;0.7858;88.959;168.228;0.4883;0.2823;0.2441;165.100;15.640;27.313;125.885;24.109;40.817
R12;REM;23024.1;23033.2;9.10;0.0085;0.0064;0.0004;0.0005;0.0002;0.0001;10.529;39.368;66.681;0.6409;32.425;91.400;172.043;25.482;0.6714;11.520;68.893;36.087
R12;REM;7774.1;7783.4;9.30;0.0024;0.0022;0.0015;0.0008;0.0008;0.0003;18.005;15.106;49.133;56.458;40.512;29.144;110.321;78.278;32.501;22.583;0.7019;19.073
R12;REM;18293.1;18302.5;9.40;0.0013;0.0010;0.0008;0.0006;0.0005;0.0007;0.5035;13.351;20.447;53.558;77.362;79.422;37.689;37.460;27.924;41.962;0.1144;0.2289
R12;REM;26292.1;26301.5;9.40;0.0019;0.0018;0.0018;0.0018;0.0017;0.0018;12.512;25.253;0.9995;0.4883;0.0687;0.2975;126.038;29.373;34.485;262.909;0.1144;0.2289
R12;REM;18422.1;18431.6;9.50;0.0005;0.0005;0.0004;0.0004;0.0004;0.0006;0.2289;36.011;65.384;13.733;13.351;0.5798;105.438;23.575;13.504;14.343;26.398;20.370
R12;REM;13164.1;13173.7;9.60;0.0005;0.0024;0.0018;0.0005;0.0018;0.0008;0.2289;23.117;124.359;25.864;30.365;57.449;308.456;53.482;0.8163;39.597;0.1068;0.6866
R12;REM;7261.1;7270.8;9.70;0.0008;0.0007;0.0005;0.0006;0.0003;0.0003;0.4730;30.441;156.708;244.827;76.599;155.716;123.749;27.008;0.8011;0.3891;12.131;21.210
R12;REM;21038.1;21047.8;9.70;0.0002;0.0002;0.0002;0.0002;0.0001;0.0002;21.591;66.223;55.466;28.687;31.281;10.834;223.846;36.240;26.093;66.681;0.8698;40.283
R12;REM;28425.1;28434.8;9.70;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7172;17.776;13.046;39.902;42.038;60.425;85.602;68.130;37.003;22.049;0.1678;0.2670
R12;REM;27656.1;27665.9;9.80;0.0012;0.0013;0.0016;0.0011;0.0010;0.0010;0.1678;138.092;282.593;172.882;154.953;218.353;296.173;11.215;0.9537;15.640;23.499;13.046
R12;REM;25955.1;25965.0;9.90;0.0006;0.0005;0.0005;0.0007;0.0006;0.0011;0.2670;15.564;72.250;117.188;41.428;45.090;299.683;40.588;0.8469;0.7858;0.1144;0.1297
R12;REM;15168.1;15178.1;10.00;0.0010;0.0010;0.0007;0.0005;0.0005;0.0006;0.5264;55.847;114.212;85.373;73.318;71.640;114.059;24.796;16.632;0.8316;39.444;90.408
R12;REM;28449.1;28459.1;10.00;0.0003;0.0002;0.0002;0.0000;0.0000;0.0000;0.9460;0.7324;25.940;129.776;30.518;41.428;55.161;86.212;16.022;0.6409;23.422;18.997
R12;REM;7550.1;7560.2;10.10;0.0005;0.0005;0.0005;0.0004;0.0002;0.0002;0.2594;10.910;29.602;42.038;68.359;10.071;382.767;57.678;34.561;59.052;22.888;27.618
R12;REM;7681.1;7691.2;10.10;0.0047;0.0034;0.0038;0.0031;0.0028;0.0025;0.2823;17.548;12.131;19.836;24.872;74.158;96.130;47.379;50.583;119.705;40.970;66.223
R12;REM;18448.1;18458.2;10.10;0.0008;0.0006;0.0007;0.0006;0.0005;0.0004;0.4807;26.855;64.316;29.144;27.695;0.8621;125.198;35.019;0.5035;10.986;0.4883;0.2289
R12;REM;23312.1;23322.5;10.40;0.0350;0.0009;0.0005;0.0002;0.0002;0.0005;50.125;21.362;13.657;0.1221;0.1450;0.2213;18.845;45.624;32.578;392.303;17.166;0.4807
R12;REM;28520.1;28530.5;10.40;0.0003;0.0003;0.0002;0.0002;0.0002;0.0001;10.986;95.673;62.561;0.2975;0.8240;0.6180;188.293;24.338;20.981;76.981;0.4272;0.9232
R12;REM;8780.1;8790.6;10.50;0.0009;0.0007;0.0004;0.0003;0.0002;0.0002;10.300;16.022;35.172;45.853;49.362;20.981;174.942;42.648;22.583;68.359;10.986;0.2060
R12;REM;10863.1;10873.8;10.70;0.0006;0.0006;0.0007;0.0007;0.0005;0.0005;0.4501;38.834;122.604;134.201;179.901;173.035;79.498;16.098;26.398;25.711;20.905;0.6256
R12;REM;22166.1;22176.8;10.70;0.0008;0.0008;0.0008;0.0008;0.0009;0.0008;0.2670;16.937;104.599;52.185;160.675;341.110;77.744;54.703;34.866;18.616;25.635;166.168
R12;REM;28242.1;28252.8;10.70;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;10.605;20.142;28.229;79.956;48.828;92.392;143.051;55.466;37.460;24.948;0.1144;0.1144
R12;REM;11899.1;11909.9;10.80;0.0006;0.0008;0.0008;0.0006;0.0006;0.0006;19.684;26.169;20.981;232.391;207.825;13.962;165.787;54.321;12.970;0.5798;0.8011;0.7706
R12;REM;22284.1;22294.9;10.80;0.0068;0.0038;0.0013;0.0009;0.0005;0.0005;0.4272;61.569;18.463;0.3433;0.8774;22.354;161.819;39.597;20.370;68.130;0.9613;14.343
R12;REM;26840.1;26850.9;10.80;0.0018;0.0018;0.0017;0.0019;0.0017;0.0017;0.1373;14.343;0.8011;0.7553;0.1297;0.2518;106.201;28.458;52.414;87.128;43.869;12.054
R12;REM;28356.1;28366.9;10.80;0.0005;0.0003;0.0002;0.0002;0.0002;0.0000;18.692;23.499;24.414;0.0381;20.142;78.659;110.321;39.749;10.452;60.883;0.7401;0.2136
R12;REM;26950.1;26961.0;10.90;0.0017;0.0017;0.0016;0.0017;0.0016;0.0017;10.452;13.199;0.7858;14.877;23.727;25.406;399.170;38.834;36.697;16.708;0.5341;0.4272
R12;REM;28133.1;28144.0;10.90;0.0003;0.0004;0.0003;0.0003;0.0003;0.0004;0.4501;13.962;31.815;146.713;64.545;89.188;74.692;27.313;24.567;0.5188;24.872;0.9460
R12;REM;9696.1;9707.1;11.00;0.0007;0.0007;0.0007;0.0006;0.0007;0.0006;0.7935;78.430;81.406;21.667;17.471;17.624;153.961;48.676;42.496;136.185;110.321;13.733
R12;REM;15664.1;15675.1;11.00;0.0010;0.0008;0.0005;0.0005;0.0005;0.0005;0.4730;13.657;29.526;31.433;21.362;36.850;459.213;50.735;17.090;19.226;0.3052;0.1450
R12;REM;28642.1;28653.2;11.10;0.0008;0.0006;0.0005;0.0004;0.0002;0.0002;10.986;19.150;12.131;19.302;34.637;16.251;134.659;91.858;42.877;66.071;0.0458;0.1450
R12;REM;26407.1;26418.3;11.20;0.0017;0.0017;0.0016;0.0017;0.0015;0.0017;0.2365;47.607;90.866;131.073;30.823;79.803;195.847;21.591;18.158;13.733;0.3510;27.466
R12;REM;17123.1;17134.4;11.30;0.0008;0.0008;0.0007;0.0008;0.0006;0.0008;0.9384;10.147;32.501;15.564;10.376;54.092;381.088;36.621;16.098;15.717;0.0839;0.3357
R12;REM;19648.1;19659.4;11.30;0.0011;0.0009;0.0008;0.0006;0.0006;0.0006;0.7248;16.174;26.550;15.335;0.7248;0.0916;240.250;55.237;34.332;34.561;0.7858;0.3052
R12;REM;7746.1;7757.5;11.40;0.0004;0.0003;0.0003;0.0003;0.0003;0.0003;0.1526;12.207;23.956;58.136;0.2594;0.8621;89.645;19.379;54.474;21.591;14.267;0.8621
R12;REM;28577.1;28588.5;11.40;0.0000;0.0002;0.0002;0.0000;0.0003;0.0000;0.4272;62.561;107.269;552.597;192.032;36.545;213.318;22.354;13.809;0.5112;0.1907;0.1755
R12;REM;15431.1;15442.6;11.50;0.0006;0.0006;0.0009;0.0006;0.0011;0.0011;0.4959;30.212;93.155;157.471;248.108;203.552;122.147;30.289;12.283;17.166;0.0687;0.0458
R12;REM;22250.1;22261.9;11.80;0.0010;0.0008;0.0016;0.0014;0.0006;0.0006;0.6332;57.449;228.043;55.847;95.215;18.463;132.904;39.215;10.681;32.501;22.278;0.6943
R12;REM;23047.1;23058.9;11.80;0.0012;0.0011;0.0005;0.0004;0.0002;0.0001;0.6027;0.7706;24.719;56.152;68.512;56.915;107.040;51.727;27.161;13.046;0.3128;0.3815
R12;REM;27018.1;27029.9;11.80;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;0.2899;11.749;20.142;68.359;251.999;209.198;124.359;62.637;10.376;0.5875;0.2365;0.4349
R12;REM;22111.1;22123.4;12.30;0.0007;0.0006;0.0007;0.0006;0.0006;0.0006;0.1450;16.785;44.250;23.041;0.9918;69.962;248.795;50.812;20.752;17.700;0.2594;0.1678
R12;REM;23706.1;23718.4;12.30;0.0009;0.0008;0.0007;0.0007;0.0005;0.0006;0.7324;31.586;29.297;23.422;0.2441;0.9689;169.220;18.616;22.888;59.586;0.3052;0.7324
R12;REM;27377.1;27389.4;12.30;0.0018;0.0014;0.0015;0.0014;0.0013;0.0014;0.2213;26.932;47.913;34.866;34.256;21.667;144.806;12.665;26.627;20.599;0.2518;0.1907
R12;REM;7825.1;7837.5;12.40;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.4272;0.7019;32.883;64.011;0.7553;0.4196;74.692;26.932;56.610;28.305;0.4425;0.2213
R12;REM;10991.1;11003.6;12.50;0.0003;0.0003;0.0003;0.0003;0.0002;0.0002;0.3128;68.970;58.441;19.531;88.806;27.847;135.803;15.793;40.741;88.348;0.0610;0.1678
R12;REM;7657.1;7669.9;12.80;0.0005;0.0016;0.0003;0.0005;0.0002;0.0003;11.215;23.422;11.139;14.191;28.305;0.0534;78.659;83.923;27.542;65.765;0.1144;0.3815
R12;REM;15198.1;15211.2;13.10;0.0088;0.0047;0.0011;0.0009;0.0008;0.0007;0.3128;26.093;115.051;105.896;119.858;49.057;73.853;16.403;10.986;0.9842;0.6714;0.9003
R12;REM;5624.1;5637.3;13.20;0.0006;0.0005;0.0005;0.0005;0.0008;0.0005;0.2747;13.962;13.962;13.046;28.610;24.719;56.229;12.741;30.823;21.515;0.5951;0.7019
R12;REM;19729.1;19742.3;13.20;0.0008;0.0006;0.0006;0.0006;0.0006;0.0006;0.3586;39.978;98.190;91.095;30.899;62.485;87.662;34.943;0.4883;0.6714;0.4349;0.8011
R12;REM;22802.1;22815.7;13.60;0.0018;0.0011;0.0009;0.0008;0.0005;0.0005;0.1755;0.8545;11.368;10.834;20.523;0.5569;220.337;54.550;61.264;121.841;0.2289;0.3357
R12;REM;15237.1;15251.0;13.90;0.0091;0.0075;0.0044;0.0012;0.0012;0.0010;0.3662;19.226;43.793;20.065;0.8163;0.3433;178.223;45.624;19.608;40.665;51.956;41.809
R12;REM;28608.1;28622.1;14.00;0.0017;0.0013;0.0012;0.0004;0.0001;0.0000;17.471;0.7019;75.226;75.989;76.065;23.651;60.730;67.139;29.297;0.9613;28.763;41.962
R12;REM;15577.1;15591.2;14.10;0.0008;0.0006;0.0011;0.0006;0.0006;0.0006;0.0992;36.087;136.490;175.705;113.907;82.703;116.043;34.943;33.798;10.529;0.2441;0.2289
R12;REM;13604.1;13618.3;14.20;0.0030;0.0014;0.0004;0.0004;0.0003;0.0004;0.2365;45.242;51.804;34.866;74.539;32.578;174.637;15.106;0.5493;21.744;0.5264;10.834
R12;REM;16117.1;16131.4;14.30;0.0006;0.0006;0.0006;0.0006;0.0005;0.0005;13.580;76.218;22.812;0.4730;0.8392;0.8774;97.580;13.809;40.131;49.973;23.117;55.542
R12;REM;13515.1;13529.8;14.70;0.0008;0.0004;0.0003;0.0003;0.0003;0.0003;21.973;184.174;46.158;0.6485;21.286;10.986;102.615;27.390;42.419;91.171;0.8240;18.692
R12;REM;7851.1;7865.8;14.70;0.0077;0.0024;0.0005;0.0002;0.0002;0.0002;0.6104;18.158;17.700;68.054;80.566;31.357;190.964;23.193;51.956;18.845;11.139;21.744
R12;REM;23173.1;23188.3;15.20;0.0001;0.0002;0.0002;0.0001;0.0000;0.0001;0.4196;19.913;17.700;62.943;64.240;55.161;89.645;50.888;76.065;83.618;0.3433;0.3052
R12;REM;15466.1;15481.5;15.40;0.0043;0.0015;0.0010;0.0010;0.0010;0.0006;0.6943;22.430;16.632;30.823;14.114;62.714;72.250;15.335;11.749;25.024;0.2594;0.3586
R12;REM;26457.1;26472.6;15.50;0.0014;0.0014;0.0014;0.0014;0.0014;0.0014;21.057;23.956;23.346;23.651;16.479;164.566;97.351;41.733;26.550;21.133;0.2213;0.1602
R12;REM;20008.1;20023.7;15.60;0.0007;0.0006;0.0006;0.0006;0.0006;0.0006;0.4425;17.471;116.806;17.700;0.2823;17.319;100.250;38.452;15.640;19.608;0.4578;0.0839
R12;REM;22016.1;22031.9;15.80;0.0013;0.0014;0.0009;0.0008;0.0008;0.0007;0.5188;23.422;35.248;0.2899;12.131;19.302;145.493;46.997;36.392;288.620;0.2747;0.0814
R12;REM;15493.1;15509.0;15.90;0.0050;0.0055;0.0047;0.0037;0.0020;0.0011;0.0916;0.9308;13.123;0.4196;13.809;0.4730;57.755;59.357;64.011;73.395;0.9232;0.4730
R12;REM;28686.1;28702.6;16.50;0.0003;0.0003;0.0002;0.0001;0.0001;0.0000;0.5035;15.030;28.534;24.109;0.7248;46.997;278.091;52.032;32.272;46.310;13.428;24.338
R12;REM;11031.1;11048.2;17.10;0.0005;0.0005;0.0005;0.0003;0.0003;0.0003;0.2899;29.602;29.068;0.7935;0.9995;22.583;56.381;0.7401;11.368;73.776;0.3510;0.4272
R12;REM;16175.1;16192.3;17.20;0.0008;0.0008;0.0006;0.0006;0.0008;0.0007;0.4578;15.717;19.684;46.616;44.937;37.231;280.075;84.000;64.240;34.332;0.7706;17.776
R12;REM;22872.1;22889.3;17.20;0.0001;0.0000;0.0000;0.0001;0.0002;0.0000;17.548;0.7706;0.9308;41.504;60.196;29.984;158.310;92.316;56.686;32.043;17.242;24.185
R12;REM;19268.1;19285.7;17.60;0.0005;0.0005;0.0005;0.0005;0.0005;0.0005;0.8011;22.583;0.7935;11.444;0.5722;11.749;250.778;31.509;46.921;181.274;11.063;13.351
R12;REM;20152.1;20170.1;18.00;0.0011;0.0007;0.0006;0.0006;0.0005;0.0005;0.4272;83.694;76.294;104.218;120.468;105.972;38.681;0.4883;0.6180;10.986;38.223;15.259
